None,date,ticker,adj_close
2885,2015-03-30,ABC,108.69094303802
2886,2015-03-27,ABC,108.40362888777
2887,2015-03-26,ABC,107.35014367021
2888,2015-03-25,ABC,107.39802936191
2889,2015-03-24,ABC,109.07402857168
2890,2015-03-23,ABC,108.83460011314
2891,2015-03-20,ABC,108.662211623
2892,2015-03-19,ABC,107.61830354377
2893,2015-03-18,ABC,106.97663527489
2894,2015-03-17,ABC,105.69329873712
2895,2015-03-16,ABC,105.47302455527
2896,2015-03-13,ABC,101.66132349534
2897,2015-03-12,ABC,100.92388384304
2898,2015-03-11,ABC,99.449004538445
2899,2015-03-10,ABC,98.577484949365
2900,2015-03-09,ABC,98.970147621368
2901,2015-03-06,ABC,97.935816680483
2902,2015-03-05,ABC,99.257461771614
2903,2015-03-04,ABC,99.10422755815
2904,2015-03-03,ABC,98.682833471122
2905,2015-03-02,ABC,98.740296301171
