date,AAPL,AMZN,FB,GOOG,NFLX
2017-01-25,120.37460392982,836.52,131.48,835.67,139.52
2017-01-26,120.43386284216001,839.15,132.78,832.15,138.96
2017-01-27,120.44373932754999,835.77,132.18,823.31,142.45
2017-01-30,120.12769179508001,830.38,130.98,802.32,141.22
2017-01-31,119.85115020417,823.48,130.32,796.79,140.71
2017-02-01,127.15974939256,832.35,133.23,795.695,140.78
2017-02-02,126.94246671398001,839.95,130.84,798.53,139.2
2017-02-03,127.48567341041999,810.2,130.98,801.49,140.25
2017-02-06,128.68072814257,807.64,132.06,801.34,140.97
2017-02-07,129.9054123309,812.5,131.84,806.97,144.0
2017-02-08,130.40911308577,819.71,134.2,808.38,144.74
2017-02-09,131.34737919779,821.36,134.14,809.56,144.14
2017-02-10,131.04980924039,827.46,134.19,813.67,144.82
